政治實體,GEC代碼,ISO 3166-1二位字母代碼,ISO 3166-0三位字母代碼,三位數字代碼,Stanag標準化國碼,網際網路,註說
阿富汗,AF,AF,AFG,4,AFG,.af,
阿爾巴尼亞,AL,AL,ALB,8,ALB,.al,
阿爾及利亞,AG,DZ,DZA,12,DZA,.dz,
美屬薩摩亞,AQ,AS,ASM,16,ASM,.as,
安道爾,AN,AD,AND,20,AND,.ad,
安哥拉,AO,AO,AGO,24,AGO,.ao,
安圭拉,AV,AI,AIA,660,AIA,.ai,
南極洲,AY,AQ,ATA,10,ATA,.aq,ISO定義為位於南緯60°之南
安地卡及巴布達,AC,AG,ATG,28,ATG,.ag,
阿根廷,AR,AR,ARG,32,ARG,.ar,
亞美尼亞,AM,AM,ARM,51,ARM,.am,
阿魯巴,AA,AW,ABW,533,ABW,.aw,
澳洲,AS,AU,AUS,36,AUS,.au,ISO定義包括阿什莫爾和卡捷島，珊瑚海群島
奧地利,AU,AT,AUT,40,AUT,.at,
亞塞拜然,AJ,AZ,AZE,31,AZE,.az,
巴哈馬,BF,BS,BHS,44,BHS,.bs,
巴林,BA,BH,BHR,48,BHR,.bh,
孟加拉,BG,BD,BGD,50,BGD,.bd,
巴貝多,BB,BB,BRB,52,BRB,.bb,
白俄羅斯,BO,BY,BLR,112,BLR,.by,
比利時,BE,BE,BEL,56,BEL,.be,
貝里斯,BH,BZ,BLZ,84,BLZ,.bz,
貝南,BN,BJ,BEN,204,BEN,.bj,
百慕達,BD,BM,BMU,60,BMU,.bm,
不丹,BT,BT,BTN,64,BTN,.bt,
玻利維亞,BL,BO,BOL,68,BOL,.bo,
波士尼亞與赫塞哥維納,BK,BA,BIH,70,BIH,.ba,
波札那,BC,BW,BWA,72,BWA,.bw,
布韋島,BV,BV,BVT,74,BVT,.bv,
巴西,BR,BR,BRA,76,BRA,.br,
英屬印度洋領地,IO,IO,IOT,86,IOT,.io,
英屬維京群島,VI,VG,VGB,92,VGB,.vg,
汶萊,BX,BN,BRN,96,BRN,.bn,
保加利亞,BU,BG,BGR,100,BGR,.bg,
布吉納法索,UV,BF,BFA,854,BFA,.bf,
緬甸,BM,MM,MMR,104,MMR,.mm,國際標準化組織採用名稱為英語：Myanmar。
蒲隆地,BY,BI,BDI,108,BDI,.bi,
維德角,CV,CV,CPV,132,CPV,.cv,
柬埔寨,CB,KH,KHM,116,KHM,.kh,
喀麥隆,CM,CM,CMR,120,CMR,.cm,
加拿大,CA,CA,CAN,124,CAN,.ca,
開曼群島,CJ,KY,CYM,136,CYM,.ky,
中非,CT,CF,CAF,140,CAF,.cf,
查德,CD,TD,TCD,148,TCD,.td,
智利,CI,CL,CHL,152,CHL,.cl,
中國,CH,CN,CHN,156,CHN,.cn,
聖誕島,KT,CX,CXR,162,CXR,.cx,
科科斯（基林）群島,CK,CC,CCK,166,AUS,.cc,
哥倫比亞,CO,CO,COL,170,COL,.co,
葛摩,CN,KM,COM,174,COM,.km,
剛果民主共和國,CG,CD,COD,180,COD,.cd,參見?薩伊
剛果共和國,CF,CG,COG,178,COG,.cg,
庫克群島,CW,CK,COK,184,COK,.ck,
哥斯大黎加,CS,CR,CRI,188,CRI,.cr,
象牙海岸,IV,CI,CIV,384,CIV,.ci,
克羅埃西亞,HR,HR,HRV,191,HRV,.hr,
古巴,CU,CU,CUB,192,CUB,.cu,
古拉索,UC,CW,CUW,531,不適用,.cw,
賽普勒斯,CY,CY,CYP,196,CYP,.cy,
捷克,EZ,CZ,CZE,203,CZE,.cz,
丹麥,DA,DK,DNK,208,DNK,.dk,
吉布地,DJ,DJ,DJI,262,DJI,.dj,
多米尼克,DO,DM,DMA,212,DMA,.dm,
多明尼加,DR,DO,DOM,214,DOM,.do,
厄瓜多,EC,EC,ECU,218,ECU,.ec,
埃及,EG,EG,EGY,818,EGY,.eg,
薩爾瓦多,ES,SV,SLV,222,SLV,.sv,
赤道幾內亞,EK,GQ,GNQ,226,GNQ,.gq,
厄利垂亞,ER,ER,ERI,232,ERI,.er,
愛沙尼亞,EN,EE,EST,233,EST,.ee,
衣索比亞,ET,ET,ETH,231,ETH,.et,
福克蘭群島,FK,FK,FLK,238,FLK,.fk,
法羅群島,FO,FO,FRO,234,FRO,.fo,
斐濟,FJ,FJ,FJI,242,FJI,.fj,
芬蘭,FI,FI,FIN,246,FIN,.fi,
法國,FR,FR,FRA,250,FRA,.fr,ISO定義包括法國本土以及海外領土
法國,FX,FX,FXX,249,不適用,不適用,ISO定義限法國本土
法屬圭亞那,FG,GF,GUF,254,GUF,.gf,
法屬玻里尼西亞,FP,PF,PYF,258,PYF,.pf,
法屬南部領地,FS,TF,ATF,260,ATF,.tf,
加彭,GB,GA,GAB,266,GAB,.ga,
甘比亞,GA,GM,GMB,270,GMB,.gm,
巴勒斯坦,GZ,PS,PSE,275,PSE,.ps,
喬治亞,GG,GE,GEO,268,GEO,.ge,
德國,GM,DE,DEU,276,DEU,.de,
加納,GH,GH,GHA,288,GHA,.gh,
直布羅陀,GI,GI,GIB,292,GIB,.gi,
希臘,GR,GR,GRC,300,GRC,.gr,
格陵蘭,GL,GL,GRL,304,GRL,.gl,
格瑞那達,GJ,GD,GRD,308,GRD,.gd,
瓜德羅普,GP,GP,GLP,312,GLP,.gp,
關島,GQ,GU,GUM,316,GUM,.gu,
瓜地馬拉,GT,GT,GTM,320,GTM,.gt,
耿西,GK,GG,GGY,831,不適用,.gg,
幾內亞,GV,GN,GIN,324,GIN,.gn,
幾內亞比索,PU,GW,GNB,624,GNB,.gw,
蓋亞那,GY,GY,GUY,328,GUY,.gy,
海地,HA,HT,HTI,332,HTI,.ht,
赫德島和麥克唐納群島,HM,HM,HMD,334,HMD,.hm,
梵蒂岡,VT,VA,VAT,336,VAT,.va,
宏都拉斯,HO,HN,HND,340,HND,.hn,
香港,HK,HK,HKG,344,HKG,.hk,
匈牙利,HU,HU,HUN,348,HUN,.hu,
冰島,IC,IS,ISL,352,ISL,.is,
印度,IN,IN,IND,356,IND,.in,
印尼,ID,ID,IDN,360,IDN,.id,
伊朗,IR,IR,IRN,364,IRN,.ir,
伊拉克,IZ,IQ,IRQ,368,IRQ,.iq,
愛爾蘭,EI,IE,IRL,372,IRL,.ie,
曼島,IM,IM,IMN,833,不適用,.im,
以色列,IS,IL,ISR,376,ISR,.il,
義大利,IT,IT,ITA,380,ITA,.it,
牙買加,JM,JM,JAM,388,JAM,.jm,
日本,JA,JP,JPN,392,JPN,.jp,
澤西,JE,JE,JEY,832,不適用,.je,
約旦,JO,JO,JOR,400,JOR,.jo,
